,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,126,2,20050331154337,20140624090633,unknown
1,DerSalamander,117,63,20101225004445,20140904011405,unknown
2,Ulitz,73,14,20040605172322,20180422183330,unknown
3,Berlin-Jurist,69,16,20050809122055,20090731101112,unknown
4,Benatrevqre,66,32,20100223214456,20110622141019,unknown
5,Southpark,52,39,20040108155955,20120116105911,unknown
6,FeBey,51,3,20070503174934,20071212193634,unknown
7,Olaf Kosinsky,50,0,20131117114817,20190205224707,unknown
8,Hardenacke,43,38,20080601171936,20181028180016,unknown
9,N.Eschenhagen,38,5,20081118115255,20150428214421,unknown
10,Schrapers,35,7,20040329104059,20060811194842,unknown
11,Unscheinbar,31,24,20040629141930,20170613062340,unknown
12,Excolis,30,8,20141026145418,20181117232944,unknown
13,Parzi,28,23,20050619165324,20070801200147,unknown
14,TMFS,28,20,20040306193651,20050711154411,unknown
15,Machahn,28,10,20060510190236,20120607181820,unknown
16,Roland Kutzki,27,9,20070516164202,20160404091521,unknown
17,Alstersegler,26,0,20170319131002,20180422154940,unknown
18,Aka,25,25,20050527132301,20190304183001,unknown
19,Ekab,25,3,20090612110032,20130113132327,unknown
20,Horst Gräbner,25,19,20130121175702,20181014175425,unknown
21,David Wintzer,25,25,20040614122952,20180401103230,unknown
22,D,24,24,20050708231825,20110418205008,unknown
23,HaeB,23,12,20040428133154,20061111124018,unknown
24,Felix17101999,23,4,20160910120901,20170122091157,unknown
25,Uwe W.,21,14,20051115194534,20060423183553,unknown
26,Leit,20,12,20080616214338,20100117141218,unknown
27,Eishöhle,20,17,20140312192236,20151224102944,unknown
28,Lettres,20,4,20090218102438,20180617153003,unknown
29,80.185.182.100,18,0,20060119105910,20060119115004,unknown
30,Scooter,18,8,20050216210401,20120327085331,unknown
31,Jukebox,18,0,20080115063810,20080505151843,unknown
32,212.202.223.209,17,0,20060118094849,20060201075615,unknown
33,Str1977,17,0,20080907194553,20120618112523,unknown
34,Pittimann,17,17,20110509090438,20181119111615,unknown
35,Seir,17,5,20080529154839,20121003095442,unknown
36,CrazyForce,17,1,20060711120334,20061017132440,unknown
37,Sirdon,17,4,20060205184041,20070531131016,unknown
38,Waldersee,17,14,20060929182715,20070126132209,unknown
39,Stefan64,15,10,20060201234838,20181215133609,unknown
40,Felix König,15,13,20110713181130,20130922144237,unknown
41,Regi51,14,14,20100421160937,20171226212229,unknown
42,Kleiner Stampfi,14,4,20120612123347,20140615181211,unknown
43,Qualle,14,8,20041212021307,20060123160306,unknown
44,Kryston,14,2,20090204204545,20140721134839,unknown
45,Yoda1893,14,2,20051123124302,20180213190851,unknown
46,Knollebuur,13,2,20060410112103,20080306095618,unknown
47,Kharon,13,10,20120616102152,20140325134435,unknown
48,Spuk968,12,12,20100115134015,20140521113305,unknown
49,CherryX,12,6,20120515131116,20131212002143,unknown
50,Se4598,12,12,20130426231424,20140401061347,unknown
51,Gloser,12,2,20130528192814,20170207073318,unknown
52,33cln33,12,7,20150921094441,20160711161636,unknown
53,Logograph,11,10,20111124093704,20181119071736,unknown
54,84.190.242.127,11,0,20061111123334,20061111123940,unknown
55,Phi,11,3,20140611163244,20190221183716,unknown
56,Gustav von Aschenbach,11,11,20100216171008,20180911174954,unknown
57,Smgw,11,0,20060223121106,20060808134653,unknown
58,Alnilam,11,11,20110608062838,20141101102027,unknown
59,Notebook,11,0,20060714100756,20061009012151,unknown
60,Rusti,11,0,20070616144420,20100714140503,unknown
61,Écarté,10,2,20180313203526,20180805130626,unknown
62,Neun-x,10,0,20120924101658,20160708082252,unknown
63,Wikibär,10,7,20041210231724,20041212022622,unknown
64,Boshomi,10,3,20121102101950,20170130202526,unknown
65,Rita2008,10,1,20101106170711,20141101174502,unknown
66,Jivee Blau,10,9,20100212161701,20181029033350,unknown
67,Diba,10,8,20080905072130,20141014082018,unknown
68,Zwobot,10,10,20040331164639,20050405093722,unknown
69,Frakturfreund,10,7,20090929223630,20121206155009,unknown
70,SamWinchester000,10,0,20130128180849,20180318211301,unknown
71,Rufus46,9,9,20140411124432,20170319073909,unknown
72,Nurkartal,9,5,20170206005747,20180406224059,unknown
73,O.Koslowski,9,9,20061111123645,20180705073114,unknown
74,Giftmischer,9,6,20090706174130,20160420134218,unknown
75,Phd,9,1,20080820113055,20170614144906,unknown
76,Alberto568,9,3,20131115222841,20131118175930,unknown
77,Casra,9,3,20100507130124,20111005141058,unknown
78,84.57.254.41,8,0,20050909111151,20050909111709,unknown
79,M 93,8,1,20090805160534,20121230215328,unknown
80,ElTres,8,0,20121031112640,20181127081623,unknown
81,Peter200,8,8,20070315154411,20121004085036,unknown
82,19Wilhelm18,8,4,20180128142615,20180328142030,unknown
83,Alter Fuxx,8,2,20061023224443,20061223084318,unknown
84,Perrak,8,0,20140725143346,20180503070159,unknown
85,Mogelzahn,8,1,20051014133517,20130311152745,unknown
86,Micha2564,8,2,20060706144917,20100213111546,unknown
87,Aykie,8,1,20050603210555,20050625110225,unknown
88,TheRandomIP,8,1,20151022225328,20180128135743,unknown
89,195.240.184.142,8,0,20120612121604,20130121185141,unknown
90,JohnLennon91,8,8,20110520082112,20141114193917,unknown
91,CommonsDelinker,8,7,20070821112812,20180104111708,unknown
92,217.227.157.87,7,0,20050331113244,20050331115846,unknown
93,84.63.97.150,7,0,20051120034454,20051120053601,unknown
94,Achatos,7,4,20061207143513,20061208201454,unknown
95,Axt,7,2,20080312140641,20090205103825,unknown
96,APPER,7,7,20050918232026,20060218121206,unknown
97,Seewolf,7,6,20070307071704,20111127115008,unknown
98,Ehrhardt,7,1,20070527192043,20080906104428,unknown
99,Jed,7,7,20051222135527,20120316203252,unknown
100,J budissin,7,3,20070505202719,20181109100547,unknown
101,Dietrich,7,2,20091027163651,20100818164104,unknown
102,Denito~dewiki,7,0,20051115125400,20051115131057,unknown
103,Diegorudolf,7,1,20060412195417,20110328121605,unknown
104,Sebastianvader,7,5,20070601171800,20071027074516,unknown
105,Wetterwolke,7,5,20140707215745,20180318134847,unknown
106,Jensbest,7,2,20160206120318,20171221221717,unknown
107,Subamaggus,7,2,20170319143735,20180111142620,unknown
108,Rmcharb,7,5,20140317122005,20181202202407,unknown
109,Sabata,7,6,20080907152806,20080915163003,unknown
110,80.185.157.121,7,0,20060122220520,20060123154124,unknown
111,Dewritech,7,0,20110622133815,20110622140148,unknown
112,Theophanu,7,1,20060702164825,20070502152942,unknown
113,84.119.233.204,7,0,20131223095553,20140102111605,unknown
114,Soup business,7,2,20130317060111,20130426232821,unknown
115,Horst-schlaemma,7,2,20161118022858,20170510184115,unknown
116,84.167.150.159,7,0,20110811064515,20110811065010,unknown
117,Ralf Roletschek,7,2,20051116064523,20161023144412,unknown
118,Tsui,6,5,20050521201618,20051020131946,unknown
119,AdAstraPerScientiam,6,6,20140603143738,20140603154342,unknown
120,Mr.Random2109,6,0,20170129183222,20170129201356,unknown
121,Hansele,6,0,20040815164652,20050810004412,unknown
122,Nassauer27,6,3,20131201114002,20181029124450,unknown
123,Aloiswuest,6,6,20050704215230,20070621230804,unknown
124,Textkontrolle,6,6,20170509063530,20170621094718,unknown
125,212.202.7.187,6,0,20050517095513,20050517103800,unknown
126,Dunkler Herr,6,1,20051121094712,20051202031257,unknown
127,84.130.126.60,6,0,20060109113903,20060109115136,unknown
128,Mick149,6,4,20090930175225,20181027112909,unknown
129,84.188.154.105,6,0,20051229164710,20051229165728,unknown
130,Haigst-Mann,6,1,20130801151131,20150108145809,unknown
131,Werner von Basil,6,5,20180207180657,20181218104453,unknown
132,Caesar Mitis,6,0,20170203163053,20170203164355,unknown
133,L.Willms,6,1,20040914221128,20050819203118,unknown
134,Benedikt2008,6,0,20131118025007,20180309151918,unknown
135,KomDok,6,1,20140911104415,20150218041709,unknown
136,Itti,6,6,20130409073235,20181207154534,unknown
137,JosFritz,6,1,20140315185243,20140911131652,unknown
138,Zollstock,6,0,20050520123759,20051121001506,unknown
139,Smit,6,0,20050907084945,20060905113849,unknown
140,Kurt Jansson,5,5,20020624014917,20030510102359,unknown
141,Willicher,5,0,20040824144304,20070503192350,unknown
142,Dundak,5,5,20050628081529,20051023092227,unknown
143,Der-Wir-Ing,5,1,20141128213402,20161213193325,unknown
144,Crux,5,1,20050428000007,20060731120808,unknown
145,KimHolgerKelting,5,0,20170614215943,20180504121835,unknown
146,Engie,5,5,20080907121445,20100920232655,unknown
147,Phantom,5,4,20061208114320,20080301232730,unknown
148,Frank Doerry,5,5,20180407164312,20180407170106,unknown
149,88.77.223.173,5,0,20171226210312,20171226210426,unknown
150,213.209.111.28,5,0,20070307100149,20100503071346,unknown
151,Entbert,5,5,20130703174709,20150724154914,unknown
152,PDD,5,4,20060713145047,20080311220146,unknown
153,Informationswiedergutmachung,5,4,20150308140902,20171130195851,unknown
154,Alraunenstern,5,5,20120512060446,20130625090957,unknown
155,Saidmann,5,0,20140325130655,20140507122315,unknown
156,Wikinger86,5,2,20100714144212,20100716103728,unknown
157,Q'Alex,5,1,20060327203607,20060811183650,unknown
158,Gceschmidt,5,5,20091001232124,20091002003018,unknown
159,PhChAK,5,0,20100116232607,20100830120031,unknown
160,Connoisseur of politics,5,4,20131213163640,20180530163713,unknown
161,.rhavin,5,4,20130310161920,20130310163252,unknown
162,Englandfan,5,1,20060410105432,20061119170222,unknown
163,Petruz,5,4,20170515180003,20171229175345,unknown
164,Mannerheim,5,1,20081015142331,20090807093507,unknown
165,195.50.146.138,5,0,20060124144954,20061010110937,unknown
166,Rylha,5,2,20131116114618,20140126165244,unknown
167,Feloscho,5,2,20140130184604,20150402131225,unknown
168,Snoopy1964,5,5,20151207115827,20180815100455,unknown
169,Kurt seebauer,5,2,20050601131518,20050604230427,unknown
170,Dachris,5,0,20050829095946,20060103154804,unknown
171,MichiK,5,4,20060903193059,20070304132740,unknown
172,Der.Traeumer,4,3,20100131162128,20181014104830,unknown
173,B.Thomas95,4,2,20120606164331,20180509170024,unknown
174,91.49.251.195,4,0,20110830103333,20110830103711,unknown
175,Karsten11,4,0,20070607072734,20100919073714,unknown
176,Schnabeltassentier,4,2,20170220104042,20181123081631,unknown
177,TammoSeppelt,4,0,20091017100551,20091022095130,unknown
178,Max schwalbe,4,2,20190212205855,20190221123146,unknown
179,Julian Herzog,4,4,20070212153152,20070212153505,unknown
180,77.22.26.218,4,0,20130110101133,20130110101804,unknown
181,88.64.51.114,4,0,20101013140615,20101013141041,unknown
182,Zugang AP 42,4,0,20071207103058,20071219232216,unknown
183,Thijs!bot,4,4,20060811033248,20080825162428,unknown
184,Philipendula,4,4,20050510071414,20050928113807,unknown
185,Nocturne,4,4,20041201064752,20050419091522,unknown
186,Arcy,4,2,20080831121123,20100527200709,unknown
187,DavidG,4,2,20090801111524,20100901121451,unknown
188,80.134.31.176,4,0,20120512060358,20120512061326,unknown
189,DCB,4,1,20141211173258,20170807203940,unknown
190,Hydro,4,4,20060513204128,20140630065331,unknown
191,Max-78,4,2,20131217184230,20131217185539,unknown
192,Maggygeller12,4,0,20140703195410,20150228141843,unknown
193,Xqbot,4,4,20090910234848,20130504091219,unknown
194,Srittau,4,4,20040614033004,20041130211218,unknown
195,Braganza,4,0,20181103092249,20190123132852,unknown
196,Tenorhornist5798,4,0,20170216150037,20170928220232,unknown
197,Puffreis,4,0,20060523171852,20060626112457,unknown
198,SashatoBot,4,4,20070220194121,20100116233834,unknown
199,Komischn,4,4,20110912101432,20180122073350,unknown
200,ABF,4,0,20061213141018,20061213142625,unknown
201,MGattringer,4,0,20060410092003,20060410092259,unknown
202,Stefan,4,4,20051115140102,20180207175823,unknown
203,Arntantin,4,0,20080628170428,20080907120805,unknown
204,Bockey,4,0,20090605172609,20141224090637,unknown
205,Le petit prince,4,3,20070105202429,20071010190507,unknown
